x position (step #),y position (step #),z position (step #),B_x (microT),B_z (microT),B_z (microT)
7,11,0,595.35,-3897.0,-808.038
7,12,0,1318.6499999999999,-3761.1,-374.37399999999997
7,13,0,1770.0,4479.3,-609.356
8,0,0,-504.97499999999997,377.025,-578.017
8,1,0,-670.5,663.9749999999999,-704.0989999999999
8,2,0,-888.75,1168.875,-853.171
8,3,0,-893.325,1651.5,-969.573
8,4,0,-897.525,2427.3,-1115.0149999999999
8,5,0,-672.75,2695.575,-1236.136
8,6,0,-510.6,3194.55,-1354.1109999999999
8,7,0,-314.4,3246.2999999999997,-1417.999
8,8,0,-189.14999999999998,3668.325,-1490.7199999999998
8,9,0,-8.325,3475.95,-1442.562
8,10,0,158.475,3613.6499999999996,-1421.266
8,11,0,415.04999999999995,3382.05,-1282.358
8,12,0,761.625,3412.95,-1146.354
8,13,0,973.95,2590.65,-1044.593
9,0,0,-310.725,291.225,-471.053
9,1,0,-369.67499999999995,442.95,-566.885
9,2,0,-452.1,699.45,-688.732
9,3,0,-510.45,1030.6499999999999,-839.982
9,4,0,-438.75,1237.1999999999998,-922.746
9,5,0,-396.9,1578.0,-1077.626
9,6,0,-265.2,1609.35,-1103.762
9,7,0,-163.64999999999998,1636.875,-1152.0410000000002
9,8,0,-73.575,1832.475,-1215.5659999999998
9,9,0,22.125,1737.0749999999998,-1183.259
9,10,0,137.1,1787.775,-1162.568
9,11,0,285.59999999999997,1917.6,-1164.504
9,12,0,407.775,1594.725,-1024.749
9,13,0,559.8,1444.95,-955.174
10,0,0,-204.45,215.54999999999998,-391.072
10,1,0,-234.29999999999998,310.95,-463.188
10,2,0,-271.2,462.29999999999995,-559.262
10,3,0,-314.85,671.175,-680.625
10,4,0,-261.3,757.05,-736.406
10,5,0,-249.525,991.575,-862.0039999999999
10,6,0,-163.04999999999998,961.9499999999999,-863.456
10,7,0,-101.1,1000.9499999999999,-905.564
10,8,0,-39.0,1095.75,-949.608
10,9,0,23.55,1059.6,-922.504
10,10,0,96.0,1067.3999999999999,-909.4359999999999
10,11,0,192.825,1176.3,-936.54
10,12,0,251.54999999999998,931.9499999999999,-820.864
10,13,0,343.79999999999995,888.225,-775.852
11,0,0,-162.15,183.29999999999998,-354.53
11,1,0,-166.04999999999998,238.2,-399.905
11,2,0,-208.79999999999998,365.25,-491.502
11,3,0,-185.475,420.075,-528.77
11,4,0,-199.04999999999998,576.3,-630.168
11,5,0,-146.175,591.75,-653.7629999999999
11,6,0,-125.1,735.75,-740.52
11,7,0,-69.44999999999999,701.0999999999999,-737.616
11,8,0,-27.45,829.9499999999999,-804.65
11,9,0,19.724999999999998,740.8499999999999,-755.524
11,10,0,79.5,800.25,-771.012
11,11,0,117.52499999999999,688.65,-708.576
11,12,0,192.75,702.75,-701.8
11,13,0,201.3,531.525,-597.377
